name,parent_category_id,promotional_price,regular_price,stock_keeping_unit,url
design parquet - parquet massif merbau huilé (140 mm x 14 mm) 4 chanfreins,CATEGORY_parquets_parquets-massifs-exotiques,95.04 €,105.60 €,B-MERH140X14,https://boutique-parquet.com/parquet-massif-merbau-huile-140mm-x-14mm-4chanfreins.html
lamett - parquet contrecollé chêne  new york (190 x 1860 mm) pure +,CATEGORY_parquets_parquets-contrecolles-classiques,89.90 €,119.78 €,B-NEW-1821,https://boutique-parquet.com/lamett-parquet-contrecolle-chene-new-york-190-x-1860-mm-pure-plus.html
haro parquet - planche large à l'ancienne série 4000 - chêne fumé léger - blanc puro sauvage - brossé 4v huilé,CATEGORY_parquets_parquets-contrecolles-classiques,89.90 €,106.96 €,B-548012,https://boutique-parquet.com/haro-parquet-planche-large-a-l-ancienne-serie-4000-chene-fume-leger-blanc-puro-sauvage-brosse-4v-huile.html
avspu40320 - sol pvc - blos sous-couche intégrée - chêne littoral miel - 5mm,CATEGORY_sols-pvc-vinyles_lames-pvc-clipsables-parquet,39.95 €,44.99 €,B-AVSPU40320,https://boutique-parquet.com/avspu40280-sol-pvc-blos-sous-couche-integree-chene-littoral-miel-5mm.html
sol stratifié - muse - grès,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5489,https://boutique-parquet.com/sol-stratifie-muse-gres.html
sig4761 - stratifié quick step - capture - noyer chic,CATEGORY_sols-stratifies_niveau-de-realisme-exceptionnel,33.95 €,39.95 €,B-SIG4761,https://boutique-parquet.com/sol-stratifie-signature-noyer-chic.html
parquetvinyl - lame pvc bâton rompu - yukon tan,CATEGORY_sols-pvc-vinyles_lames-pvc-clipsables-baton-rompu,47.09 €,52.32 €,B-YUK-HB-2621-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-yukon-tan.html
parquetvinyl - lame pvc bâton rompu avec sous-couche intégrée- mantaro fossil,CATEGORY_sols-pvc-vinyles_lames-pvc-clipsables-baton-rompu,49.13 €,54.59 €,B-MAN-HB-5611-IB,https://boutique-parquet.com/parquetvinyl-lame-pvc-baton-rompu-avec-sous-couche-integree-mantaro-fossil.html
dalle plombante pvc simplay sterling terrazzo,CATEGORY_sols-pvc-vinyles_vinyle-plombant,49.90 €,82.24 €,B-2495,https://boutique-parquet.com/dalle-plombante-pvc-simplay-sterling-terrazzo.html
fiberdeck - forkpad cales fourchettes 2 à 5 mm mix - 200 pièces - nivo,CATEGORY_terrasses_cales-pour-lambourdes,19.75 €,29.90 €,B-0679,https://boutique-parquet.com/fiberdeck-forkpad-cales-fourchettes-2-a-5mm-mix-200-pieces-nivo.html
lame plombante pvc simplay natural ash,CATEGORY_sols-pvc-vinyles_vinyle-plombant,49.99 €,71.45 €,B-2511,https://boutique-parquet.com/lame-plombante-pvc-simplay-naturel.html
fiberdeck - gabarit de perçage + 4 espaceurs cobra liner,CATEGORY_terrasses_espaceurs-et-gabarits,14.53 €,18.50 €,B-0603,https://boutique-parquet.com/fiberdeck-gabarit-de-percage-4-espaceurs-cobra-liner.html
fiberdeck - geodeck feutre géotextile 100 gr/m² (2x10m = 20m²) - nivo,CATEGORY_terrasses_feutre-geotextile,20.99 €,28.90 €,B-0607,https://boutique-parquet.com/fiberdeck-geodeck-feutre-geotextile-100-gr-m-2x10m-20m-nivo.html
hapax fixing pro (kit 6m²) - fixation invisible pour terrasse - vis a4,CATEGORY_terrasses_fixations-terrasse,111.60 €,148.80 €,B-555101088-A4,https://boutique-parquet.com/hapax-fixing-pro-kit-6m-fixation-invisible-pour-terrasse-vis-a4.html
